M2,M2,M2
S,S,J
T,K,H1
H1,M2,S
M1,T,M3
H3,N,T
N,H3,A
H1,K,K
N,A,A
M3,H3,H2
Q,K,A
N,A,H1
A,K,J
S,Q,N
M1,H1,J
N,J,H1
H3,S,M1
M2,Q,M3
Q,Q,Q
J,M3,Q
J,N,N
A,T,S
H2,M2,A
A,K,M3
N,Q,Q
K,H3,H2
A,K,T
M1,T,A
S,H2,A
H1,Q,N
J,K,M1
Q,H2,M3
M1,A,J
K,Q,M2
N,K,Q
M3,M2,J
M2,M1,T
K,N,K
M3,S,J
M3,T,Q
J,T,S
Q,M1,M1
H2,M2,H2
J,H1,M2
J,J,M1
N,H3,N
J,N,N
M1,H1,A
Q,Q,H1
S,J,H1
H2,M2,H1
N,A,T
J,J,T
T,M2,M2
N,T,Q
M1,Q,M2
M1,N,K
J,N,M1
K,M1,T
M2,K,H1
M1,N,M2
S,M2,K
T,J,H3
N,W,T
T,K,T
M1,H2,Q
J,H1,Q
H2,J,H3
H1,M3,M2
Q,S,A
M2,J,K
T,K,S
H1,H2,Q
N,M2,M1
S,J,H1
